"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Nov 10 06:54:56 UTC 2020","Tue Nov 10 06:54:57 UTC 2020","585","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions",""
"passed","Tue Nov 10 06:27:48 UTC 2020","Tue Nov 10 06:27:49 UTC 2020","993","Transaction-Log-Ctrl","","","","","CreateTransactionID3_SameTransactionID2",""
"passed","Tue Nov 10 06:26:58 UTC 2020","Tue Nov 10 06:26:59 UTC 2020","607","Transaction-Rec-Ctrl","","","","","ChkComplete_forID4_forFail",""
"passed","Tue Nov 10 06:26:58 UTC 2020","Tue Nov 10 06:26:58 UTC 2020","586","Transaction-Rec-Ctrl","","","","","CreateTransactionID4_forTest",""
"passed","Tue Nov 10 06:54:51 UTC 2020","Tue Nov 10 06:54:52 UTC 2020","601","Transaction-Rec-Ctrl","","","","","CreateTransactionID4_forTest",""
"failed","Tue Nov 10 06:59:13 UTC 2020","Tue Nov 10 06:59:14 UTC 2020","1082","Verify Ver","","","","","Chk Ver",""
"passed","Tue Nov 10 06:27:49 UTC 2020","Tue Nov 10 06:27:50 UTC 2020","887","Transaction-Log-Ctrl","","","","","ChkComplete1_forID2_forSuccess",""
"passed","Tue Nov 10 06:54:50 UTC 2020","Tue Nov 10 06:54:51 UTC 2020","625","Transaction-Log-Ctrl","","","","","ChkComplete2_forID3_forFail",""
"passed","Tue Nov 10 06:59:15 UTC 2020","Tue Nov 10 06:59:16 UTC 2020","600","Transaction-Log-Ctrl","","","","","CreateTransactionID2",""
"passed","Tue Nov 10 06:54:51 UTC 2020","Tue Nov 10 06:54:51 UTC 2020","613","Transaction-Log-Ctrl","","","","","ChkCompleteForBatch",""
"passed","Tue Nov 10 06:59:16 UTC 2020","Tue Nov 10 06:59:16 UTC 2020","600","Transaction-Log-Ctrl","","","","","CreateTransactionID3_SameTransactionID2",""
"passed","Tue Nov 10 06:26:57 UTC 2020","Tue Nov 10 06:26:58 UTC 2020","877","Transaction-Log-Ctrl","","","","","ChkCompleteForBatch",""
"passed","Tue Nov 10 06:59:16 UTC 2020","Tue Nov 10 06:59:17 UTC 2020","1104","Transaction-Log-Ctrl","","","","","ChkComplete1_forID2_forSuccess",""
"passed","Tue Nov 10 06:54:49 UTC 2020","Tue Nov 10 06:54:50 UTC 2020","609","Transaction-Log-Ctrl","","","","","ChkComplete1_forID2_forSuccess",""
"passed","Tue Nov 10 06:59:14 UTC 2020","Tue Nov 10 06:59:15 UTC 2020","1011","Transaction-Log-Ctrl","","","","","CreateTransactionID1",""
"passed","Tue Nov 10 06:59:19 UTC 2020","Tue Nov 10 06:59:20 UTC 2020","607","Transaction-Rec-Ctrl","","","","","CreateTransactionID4_forTest",""
"passed","Tue Nov 10 06:26:55 UTC 2020","Tue Nov 10 06:26:55 UTC 2020","586","Transaction-Log-Ctrl","","","","","CreateTransactionID2",""
"passed","Tue Nov 10 06:59:22 UTC 2020","Tue Nov 10 06:59:24 UTC 2020","2015","Transaction-Rec-Ctrl","","","","","get whole transactionLog process list",""
"passed","Tue Nov 10 06:27:52 UTC 2020","Tue Nov 10 06:27:52 UTC 2020","605","Transaction-Rec-Ctrl","","","","","ChkComplete_forID4_forFail",""
"passed","Tue Nov 10 06:26:56 UTC 2020","Tue Nov 10 06:26:57 UTC 2020","612","Transaction-Log-Ctrl","","","","","ChkComplete2_forID3_forFail",""
"passed","Tue Nov 10 06:54:48 UTC 2020","Tue Nov 10 06:54:49 UTC 2020","1010","Transaction-Log-Ctrl","","","","","CreateTransactionID2",""
"passed","Tue Nov 10 06:27:04 UTC 2020","Tue Nov 10 06:27:05 UTC 2020","656","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions _ForCurPageIs0",""
"passed","Tue Nov 10 06:27:51 UTC 2020","Tue Nov 10 06:27:52 UTC 2020","587","Transaction-Rec-Ctrl","","","","","CreateTransactionID4_forTest",""
"passed","Tue Nov 10 06:59:17 UTC 2020","Tue Nov 10 06:59:18 UTC 2020","1026","Transaction-Log-Ctrl","","","","","ChkComplete2_forID3_forFail",""
"passed","Tue Nov 10 06:54:49 UTC 2020","Tue Nov 10 06:54:49 UTC 2020","604","Transaction-Log-Ctrl","","","","","CreateTransactionID3_SameTransactionID2",""
"passed","Tue Nov 10 06:54:57 UTC 2020","Tue Nov 10 06:54:58 UTC 2020","913","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions _ForCurPageIs0",""
"passed","Tue Nov 10 06:59:20 UTC 2020","Tue Nov 10 06:59:22 UTC 2020","1950","Transaction-Rec-Ctrl","","","","","get one of transactionLog process",""
"passed","Tue Nov 10 06:27:48 UTC 2020","Tue Nov 10 06:27:48 UTC 2020","584","Transaction-Log-Ctrl","","","","","CreateTransactionID2",""
"passed","Tue Nov 10 06:59:25 UTC 2020","Tue Nov 10 06:59:26 UTC 2020","658","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions _ForCurPageIs0",""
"failed","Tue Nov 10 06:27:46 UTC 2020","Tue Nov 10 06:27:47 UTC 2020","696","Verify Ver","","","","","Chk Ver",""
"passed","Tue Nov 10 06:26:54 UTC 2020","Tue Nov 10 06:26:54 UTC 2020","590","Transaction-Log-Ctrl","","","","","CreateTransactionID1",""
"passed","Tue Nov 10 06:27:57 UTC 2020","Tue Nov 10 06:27:58 UTC 2020","653","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions _ForCurPageIs0",""
"passed","Tue Nov 10 06:27:54 UTC 2020","Tue Nov 10 06:27:56 UTC 2020","2026","Transaction-Rec-Ctrl","","","","","get whole transactionLog process list",""
"failed","Tue Nov 10 06:59:24 UTC 2020","Tue Nov 10 06:59:25 UTC 2020","831","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions",""
"passed","Tue Nov 10 06:54:52 UTC 2020","Tue Nov 10 06:54:52 UTC 2020","623","Transaction-Rec-Ctrl","","","","","ChkComplete_forID4_forFail",""
"passed","Tue Nov 10 06:59:18 UTC 2020","Tue Nov 10 06:59:19 UTC 2020","635","Transaction-Log-Ctrl","","","","","ChkCompleteForBatch",""
